transaction_id,item_position,item_name,item_price
TX00001105,1,Fabele,47.22
TX00001105,2,Luminios,39.9
TX00000076,1,item part,25.16
TX00000076,2,,11.21
TX00000076,3,unit,96.78
TX00000076,4,piece Ecilpse,2.41
TX00001391,1,Vains,89.16
TX00001391,2,item,52.04
TX00001391,3,element,88.74
TX00001391,4,uScettered,8.99
TX00000439,1,part part,99.88
TX00000439,2,Whsipeing Emberlihgt,71.03
TX00000439,3,Zeernity,94.34
TX00000439,4,part Flere,10.69
TX00001336,1,object Amiber,38.16
TX00001336,2,,52.89
TX00001336,3,part,31.3
TX00001336,4,,53.81
TX00000864,1,,91.47
TX00000864,2,element Mtoion,16.07
TX00001080,1,unit Zehpyr,8.52
TX00001080,2,Cresecent Aeshore,1.18
TX00001080,3,Spilnteraed unit,8.9
TX00001080,4,unit unit,75.0
TX00001080,5,Crescetn Ashora,6.95
TX00000354,1,element,30.32
TX00000365,1,item,26.92
TX00000365,2,part,62.8
TX00000365,3,,14.28
TX00000365,4,element Embeor,96.48
TX00000365,5,element,49.67
TX00000309,1,,87.49
TX00000309,2,o Turnieng,15.6
TX00000736,1,,6.54
TX00000736,2,mbeor,28.11
TX00000736,3,,52.96
TX00000736,4,,74.51
TX00000998,1,Patal,46.63
TX00000998,2,Zoft,92.58
TX00000998,3,Oobsidina,17.98
TX00000621,1,Threoaded unit,17.72
TX00000621,2,,99.06
TX00000621,3,Chesing,4.01
TX00000621,4,Pael,10.33
TX00000543,1,hizpers,93.08
TX00000543,2,,13.08
TX00000543,3,,46.05
TX00000543,4,,26.29
TX00000543,5,Frauktured part,56.73
TX00001140,1,,69.81
TX00001140,2,Ecolipsed element,18.6
TX00001296,1,,51.26
TX00001296,2,Wintuer,8.15
TX00000554,1,,59.06
TX00000554,2,Silant Rveerberance,84.63
TX00000679,1,part,1.35
TX00000049,1,,42.29
TX00000049,2,element Elkipse,96.52
TX00000049,3,item item,6.65
TX00000049,4,item,14.45
TX00000490,1,part,7.27
TX00000316,1,Wiltahorn,25.46
TX00000316,2,Vel unit neSeconds,5.54
TX00000316,3,,40.35
TX00000904,1,Kerulean stuff,56.55
TX00000636,1,Reveie,76.11
TX00000636,2,Luminaus,84.14
TX00000636,3,thing,36.12
TX00000636,4,Trheaded Hoarizon,59.6
TX00000636,5,,56.65
TX00000560,1,item part,2.9
TX00000486,1,part Embeleght,52.75
TX00000486,2,part,10.51
TX00000486,3,part o fverwind,25.33
TX00000486,4,unit's mbErace,5.63
TX00000067,1,oAoshen,33.94
TX00000067,2,Zunfract Miirage,93.8
TX00000811,1,,66.42
TX00000811,2,thing,83.79
TX00000811,3,,91.22
TX00000811,4,piece af Evrmore,11.37
TX00000493,1,part,26.46
TX00000493,2,unit part stuff,69.49
TX00000493,3,part Gsosaer,94.03
TX00000310,1,uBndless element,71.29
TX00000310,2,Leoom,68.28
TX00000310,3,Boundleiss Hing,40.22
TX00000310,4,Chasnig Huollows,48.41
TX00000310,5,,38.33
TX00001096,1,Embrevault Galow,22.69
TX00001096,2,unit,76.98
TX00001096,3,,47.53
TX00001247,1,item,56.27
TX00001247,2,stuff,44.2
TX00000184,1,part part,64.3
TX00000184,2,Evesuong,79.26
TX00000184,3,Tmeproal,62.89
TX00000306,1,,58.51
TX00000306,2,piece Turnign,14.54
TX00000306,3,hivered,97.45
TX00000852,1,uShimmering part,91.89
TX00000852,2,thing,94.77
TX00000852,3,,66.98
TX00000792,1,aEmber item,40.64
TX00000792,2,Ecohes Thraad,32.19
TX00000792,3,Ehcoes Trhead,55.79
TX00000792,4,,49.26
TX00000289,1,Slaice,61.37
TX00000289,2,Inking Tidway,23.77
TX00000706,1,,76.52
TX00001329,1,,37.3
TX00001329,2,uVeins,5.13
TX00001329,3,Shuimmer,18.9
TX00000654,1,thing,29.74
TX00000654,2,thing,62.32
TX00000522,1,,72.26
TX00000461,1,Wsipering Emberleight,27.96
TX00000461,2,uSunli piece,87.07
TX00000461,3,,4.66
TX00000461,4,eMadowobound,4.95
TX00000461,5,Sraenity,53.87
TX00000930,1,piece piece,82.47
TX00001034,1,Emberavutl,57.92
TX00001034,2,unit Qivier,61.35
TX00001034,3,iEmbervault Glo,66.67
TX00000029,1,Asheen Serende,47.54
TX00000029,2,Sunfrec,73.2
TX00000029,3,Horizn,52.37
TX00000029,4,item part,70.87
TX00000029,5,Cascaode o Esewhere,43.5
TX00000240,1,item,4.14
TX00000240,2,stuff Listenng,80.71
TX00000240,3,Fracturet item,66.36
TX00000798,1,ber,45.94
TX00000798,2,unit,43.01
TX00000798,3,,10.99
TX00000798,4,,18.92
TX00000798,5,,76.56
TX00000817,1,Fraigmend,54.26
TX00000817,2,Preats stuff,91.8
TX00000065,1,Huarmonized Fleetinag,94.15
TX00000065,2,Ekhoed Rivule,69.73
TX00000065,3,item Sitllnezs,55.77
TX00000065,4,item item,84.17
TX00000065,5,element piece,76.06
TX00000601,1,Taoestry,37.34
TX00000601,2,thing,58.67
TX00000601,3,,53.45
TX00000924,1,element,35.42
TX00000924,2,unit dHorizon,34.14
TX00000924,3,,71.61
TX00000924,4,Obsuitian,22.24
TX00000924,5,Widns,13.27
TX00000754,1,,40.95
TX00000754,2,stuff stuff,82.34
TX00000754,3,part,83.63
TX00000926,1,Nocturine,92.27
TX00001101,1,,31.24
TX00001101,2,,73.69
TX00001101,3,object rink,37.59
TX00000247,1,item Trake,77.65
TX00000247,2,,31.92
TX00000277,1,stuff Bewteen,77.1
TX00000277,2,item,58.85
TX00000277,3,Fracturde,18.47
TX00001402,1,Pardaox,89.94
TX00001402,2,thing,16.23
TX00001402,3,Sparorwtide object,27.47
TX00001402,4,thing,49.06
TX00001066,1,Allyoed,15.77
TX00000479,1,part,79.9
TX00000426,1,Duisbkorne part,20.3
TX00000123,1,part,82.58
TX00000123,2,rimson Reveri,45.09
TX00000123,3,unit,46.68
TX00001169,1,piece,96.79
TX00001169,2,,48.95
TX00000394,1,element,84.11
TX00000394,2,thing hto Eloseways,74.74
TX00000985,1,piece piece,71.68
TX00000985,2,Noctrune,69.63
TX00000985,3,,56.27
TX00000715,1,Ver,1.2
TX00000715,2,thing object,29.66
TX00000715,3,element,26.46
TX00001134,1,piece,35.67
TX00001134,2,Lominoos,5.63
TX00001084,1,piece item,41.49
TX00000497,1,part Glwo,47.02
TX00000497,2,stuff,44.34
TX00000497,3,,57.99
TX00000497,4,part unit,47.4
TX00000044,1,Casacde item Elsawheore,74.39
TX00000044,2,item item,87.46
TX00000044,3,Vlevet item,46.39
TX00000044,4,,69.07
TX00000044,5,Sunfracat Mirae,63.28
TX00000059,1,piece Eclipes,41.31
TX00000059,2,,17.63
TX00000059,3,,35.43
TX00000059,4,item Stoellness,40.23
TX00000059,5,item lEseehre,32.54
TX00001161,1,Zunlit,28.0
TX00001161,2,uLminous uBrink,42.44
TX00001161,3,Sunilt,80.88
TX00001161,4,Luuminous Brikn,16.6
TX00001161,5,stuff,21.21
TX00000023,1,Tidoes,32.71
TX00000023,2,unit,81.5
TX00000023,3,piece item,24.52
TX00000874,1,Shiammerig,87.21
TX00000874,2,Eemore,86.65
TX00000874,3,Sillniess,6.49
TX00000874,4,Emebrwoveen,44.11
TX00000481,1,part llre,33.11
TX00000481,2,Ahfal lSerenity,63.09
TX00000481,3,object tGlow,97.81
TX00000481,4,Meadaowbound,23.14
TX00001324,1,element part,74.8
TX00001324,2,item,55.46
TX00000745,1,oSurge,89.06
TX00000745,2,,4.17
TX00000745,3,Ecoas,19.49
TX00000231,1,object,85.87
TX00000231,2,Untamet,56.45
TX00000231,3,Murumr,83.38
TX00000231,4,object Batwoeen,32.21
TX00000231,5,object Embar,99.3
TX00000124,1,hTreaded Horzon,98.2
TX00000124,2,Fragmenits part Saky,62.67
TX00000427,1,part,40.45
TX00000427,2,Duskboren part,27.43
TX00000427,3,part,35.02
TX00000427,4,Ashfuaall,83.9
TX00000427,5,Veen uof part,59.34
TX00000818,1,Feragent,56.57
TX00000818,2,,25.4
TX00000818,3,piece oaf thing,38.9
TX00000818,4,thing,35.24
TX00000818,5,Motoion,80.23
TX00000168,1,Temaporal Blomo,69.78
TX00000168,2,part item,20.87
TX00000168,3,Speire,22.57
TX00000168,4,part,27.44
TX00000115,1,Glimme rSpire,86.94
TX00000115,2,remson,67.23
TX00000115,3,piece part,42.89
TX00001088,1,object,93.85
TX00000986,1,Fragmentet Puulse,40.27
TX00000986,2,erulaen item,32.66
TX00000986,3,Gildd,91.68
TX00001395,1,folding,15.97
TX00001395,2,piece piece,79.3
TX00001395,3,Unflding,45.52
TX00001395,4,Unfoilding piece,10.38
TX00001424,1,Sparroiwtida,69.41
TX00001424,2,object,44.83
TX00001424,3,thing bEmrace,77.66
TX00001424,4,Glw,25.86
TX00001424,5,object,94.89
TX00000415,1,Leiminal,91.81
TX00000415,2,part Gssamr,73.59
TX00000415,3,part,89.53
TX00000415,4,part Floare,75.65
TX00000141,1,aLttic item,73.05
TX00000141,2,part unit,33.04
TX00000141,3,part,61.19
TX00001233,1,thing,91.0
TX00001233,2,,12.95
TX00001233,3,item,28.98
TX00001233,4,part,99.4
TX00001293,1,item's Joournay,12.12
TX00001293,2,Opsidian Passag,34.57
TX00001293,3,Velvt,22.91
TX00001293,4,,72.35
TX00000762,1,,80.4
TX00000762,2,iEmber piece item,19.25
TX00000762,3,Veity Shadowin guSrge,99.97
TX00000762,4,thing o,42.07
TX00000762,5,Vierage,89.08
TX00001206,1,,16.92
TX00001206,2,Vevet,90.67
TX00000462,1,Teampest unit,26.57
TX00001243,1,thing,72.68
TX00000078,1,item,86.53
TX00001004,1,unit Qvier,6.11
TX00001004,2,Crecsnt object,62.57
TX00001004,3,Aelloyed,84.08
TX00001490,1,thing Glem,72.71
TX00001490,2,Moonthead,18.04
TX00001490,3,Hallowe dSway,15.71
TX00000571,1,,72.68
TX00000571,2,,37.57
TX00000571,3,item,50.05
TX00000015,1,Sunfrakt piece,76.14
TX00000015,2,object Sillness,85.21
TX00000015,3,element,10.56
TX00000015,4,element piece,62.74
TX00000494,1,part uEmberloighd,57.41
TX00000494,2,Whiispering Emoberliht,40.4
TX00000350,1,Latech Elsewaoys,39.18
TX00000350,2,Elseiweys,87.87
TX00000350,3,item,77.12
TX00000350,4,item,99.33
TX00000350,5,Alsewayz,91.83
TX00000999,1,Bloo,91.77
TX00000999,2,Tehered rFost,67.28
TX00000999,3,stuff,84.14
TX00000999,4,piece piece,25.88
TX00000999,5,Petual,50.89
TX00000274,1,item Lstoening,85.67
TX00000274,2,Vge,31.92
TX00000274,3,,22.71
TX00000274,4,Fractred item,84.2
TX00001191,1,,51.98
TX00001191,2,Lumnaous,92.86
TX00000271,1,Awaene,2.5
TX00000271,2,object piece,38.71
TX00000271,3,object Embar,66.77
TX00000271,4,item,15.07
TX00000271,5,element,17.16
TX00001473,1,Moonthred,24.36
TX00001473,2,thing,34.71
TX00001473,3,ilrdain thing,53.71
TX00000237,1,Uinspoken,70.67
TX00000237,2,Solce Betweien,63.84
TX00000237,3,Vw item,82.3
TX00000237,4,Tideya,16.94
TX00000585,1,Sernada,85.17
TX00000585,2,thing Rveerberance,2.76
TX00000585,3,piece,8.99
TX00001312,1,,13.86
TX00000694,1,Liuminous,14.22
TX00000694,2,,29.34
TX00000694,3,Etarnal Tapsetry,67.03
TX00001001,1,object,28.91
TX00001001,2,element,4.03
TX00001001,3,uDincture,73.86
TX00000322,1,Biuondless element,43.69
TX00000322,2,piece,96.67
TX00000782,1,Thraat,5.94
TX00000782,2,o part,49.15
TX00000782,3,,48.72
TX00001358,1,,6.12
TX00001358,2,element Glwo,66.52
TX00001358,3,Shimumer,55.58
TX00001203,1,,74.43
TX00001203,2,,40.03
TX00000970,1,Noturne,55.08
TX00000970,2,iGlded,78.8
TX00001466,1,Moonethread,22.95
TX00001466,2,Latticeobrn stuff,93.31
TX00000526,1,Glsslika,21.96
TX00000526,2,,13.84
TX00000526,3,aLiminal Sonnt,88.62
TX00000526,4,Etheerbound Whsipers,77.23
TX00001425,1,Ltteceborne,36.85
TX00001425,2,Aureilc Ambrace,17.32
TX00001425,3,Monotrhead,53.03
TX00001425,4,thing,10.88
TX00001425,5,stuff unit,31.59
TX00001170,1,unit item,71.39
TX00000175,1,object uof,58.66
TX00000175,2,rFagemnts part,53.89
TX00000358,1,Wildtharn item,87.44
TX00000358,2,Boundless element,76.05
TX00000358,3,Buraech,46.75
TX00000358,4,item,69.5
TX00000043,1,item part,25.41
TX00000043,2,item item,59.81
TX00000043,3,Tieds,6.54
TX00000416,1,Meaowbund,95.27
TX00000416,2,Fragmetns fo part,59.38
TX00000416,3,part part,13.95
TX00000416,4,part Evrwind,99.09
TX00000416,5,Sunli tGssamer,41.32
TX00000344,1,thing item,64.9
TX00000344,2,uBreach af,98.73
TX00000344,3,ato piece,7.76
TX00000344,4,Wildhtrn,44.02
TX00000344,5,unit af,87.44
TX00001026,1,object Gliow,62.22
TX00001026,2,unit,33.47
TX00001026,3,Horizoin object,70.72
TX00001026,4,Embeirvault unit,56.47
TX00001026,5,,23.74
TX00001401,1,Laterwisp,6.11
TX00001401,2,Gidraen thing,22.16
TX00001401,3,thing,14.63
TX00001401,4,Latticeobrne oMuse,91.61
TX00001401,5,thing thing,35.95
TX00000101,1,Pism Unfoldeing,94.42
TX00000101,2,piece part,47.01
TX00000101,3,unit,55.84
TX00000101,4,part,86.65
TX00000107,1,Fagmends part,55.46
TX00000107,2,Fraugmetns part,10.64
TX00000107,3,Fragment sof Syk,81.88
TX00000107,4,unit,19.04
TX00001489,1,thing,33.01
TX00001489,2,Glidrain Stell,86.84
TX00001489,3,stuff unit,70.23
TX00001489,4,thing,70.03
TX00001052,1,Cresceint Ashor,2.39
TX00001052,2,Fargment Songlin,71.6
TX00001052,3,eVeilar kCurrent,51.97
TX00000964,1,unit Taace,28.02
TX00000380,1,thing,85.92
TX00000380,2,item,87.78
TX00000380,3,stuff,95.9
TX00000380,4,uAxiom o fTurning,66.26
TX00000244,1,Qoiet,52.11
TX00000244,2,,12.38
TX00000244,3,Flickuer eneath,16.37
TX00001099,1,unit unit,65.6
TX00001099,2,Dsuk,33.43
TX00001099,3,unit,45.3
TX00001099,4,Rftborne part,22.05
TX00001099,5,unit,39.41
TX00000500,1,Silnt Reverboerance,53.67
TX00000500,2,Limiunla,21.47
TX00000500,3,Etherboun Whiispers,71.18
TX00000500,4,ooWhispers,10.12
TX00000700,1,Veraity Surgoe,8.43
TX00000128,1,Threoaded Horion,3.95
TX00000128,2,,99.14
TX00000128,3,Glemmer,99.65
TX00000128,4,Fragmoentz part,97.96
TX00000128,5,piece mUnfoldaing,28.02
TX00000239,1,eBneeath,9.92
TX00000239,2,Murmu,29.69
TX00000239,3,object,42.9
TX00000239,4,,78.48
TX00001114,1,thing element,16.21
TX00001114,2,object,93.09
TX00000682,1,Threadaed stuff,15.3
TX00000682,2,,45.1
TX00000682,3,Woisp,32.7
TX00000682,4,eRverie,76.17
TX00000682,5,Lumineous,52.74
TX00000482,1,Tempast unit,30.46
TX00000482,2,Fragemnts part Lsuter,27.53
TX00000482,3,unit's part,68.16
TX00001305,1,Skadtered,68.31
TX00001305,2,piece Glo,70.07
TX00001305,3,unit,65.97
TX00000275,1,,11.62
TX00000275,2,,86.2
TX00000275,3,Fracture dCurerent,40.05
TX00000582,1,Eclpsed Luiayers,58.43
TX00000582,2,,32.52
TX00000582,3,,34.35
TX00000582,4,,22.55
TX00000203,1,Inlking part,39.99
TX00000203,2,Solaoce Beteen,92.63
TX00000203,3,Untamde,36.51
TX00000203,4,item,6.59
TX00000032,1,stuff Serenada,71.52
TX00000032,2,Hearmonized Fleetinag,91.04
TX00000032,3,,74.35
TX00000032,4,Velveet item,89.31
TX00000032,5,,73.22
TX00001319,1,,63.47
TX00001319,2,,93.17
TX00001319,3,Unfoildign,88.8
TX00000813,1,thing Unfolodeng,32.37
TX00000813,2,arvesteed,44.63
TX00000813,3,thing,34.13
TX00000813,4,,58.89
TX00000813,5,Motan,9.83
TX00000997,1,,92.07
TX00000997,2,,93.11
TX00000997,3,item,55.36
TX00000381,1,,1.94
TX00000381,2,Eccard,25.48
TX00001073,1,Cresecnt piece,11.38
TX00001073,2,Rifdborne Ellure,51.42
TX00001073,3,object,42.65
TX00001073,4,stuff element,44.02
TX00001073,5,stuff element,29.43
TX00001348,1,Scatoteered,9.28
TX00001348,2,object Ambeor,99.09
TX00000578,1,,64.97
TX00000578,2,stuff,35.97
TX00000578,3,,47.82
TX00000887,1,Motain,34.26
TX00000887,2,Veeins of stuff,22.79
TX00000887,3,Horezoncsape,69.39
TX00000887,4,Preaaths stuff,67.15
TX00001325,1,,20.3
TX00001325,2,Scattere,77.01
TX00001325,3,Scauttered thing,18.56
TX00001326,1,Sctateret,95.1
TX00001326,2,himmer,50.29
TX00000941,1,,35.72
TX00000941,2,Teuthered Frst,41.58
TX00000941,3,item ablae,41.64
TX00000941,4,piece piece,74.01
TX00000163,1,Ladtice iof,67.91
TX00000163,2,,68.76
TX00000163,3,ef,11.17
TX00000163,4,Fragmnts o fSky,99.87
TX00000163,5,Shiards part part,68.75
TX00000909,1,part,93.53
TX00000909,2,Slient,74.26
TX00000297,1,object,75.27
TX00000297,2,eFracturied,54.75
TX00000297,3,Qiet,53.45
TX00000297,4,,90.54
TX00000755,1,Fragmentus o fVerge,82.55
TX00000755,2,Vrty Shdowing,80.57
TX00000755,3,mEer,44.09
TX00000755,4,,53.61
TX00000405,1,Duskbane part,38.32
TX00000405,2,part evEerwind,39.48
TX00000405,3,part,24.16
TX00000405,4,part lGow,57.83
TX00000405,5,Sulnit part,58.14
TX00000968,1,Fragmente dPulsie,79.53
TX00000968,2,unit oFrost,92.07
TX00000605,1,eLuminous,62.0
TX00000605,2,object,18.95
TX00000605,3,thing,55.39
TX00000605,4,Rueverie,29.54
TX00000420,1,Veein part Everwidn,96.4
TX00000420,2,Lminal,1.86
TX00000420,3,part Gsosmaer,26.0
TX00000464,1,part unit,3.62
TX00000464,2,unit's part,56.8
TX00000464,3,stuff Soerenity,27.7
TX00000464,4,oAshfall iSerenity,97.67
TX00001187,1,Eclpzed,57.64
TX00001187,2,Lumiou part,58.48
TX00001187,3,Sulit,44.47
TX00000939,1,erulean item,23.95
TX00000939,2,element,61.79
TX00000939,3,Cerulaaan item,35.66
TX00000939,4,Ceuruleian item,51.09
TX00000192,1,,35.29
TX00000192,2,Lattie part Memoy,45.82
TX00000192,3,part,61.6
TX00000192,4,part item,27.13
TX00000674,1,,7.39
TX00000674,2,part Hroizon,32.69
TX00000351,1,Latuch element,48.27
TX00000351,2,t Elseawys,44.42
TX00000351,3,Shivereed,23.0
TX00000858,1,Shimering Resolive,44.99
TX00000858,2,Embrwovne,78.76
TX00000858,3,,92.85
TX00000858,4,,52.4
TX00000858,5,Queet Horizonscapa,59.67
TX00000063,1,Emeerd item,13.56
TX00000063,2,Saffro piece,5.01
TX00000063,3,item part,59.33
TX00001173,1,Lominous Brin,74.2
TX00001173,2,Eclipsad Ethesr,32.89
TX00000765,1,item yShedowing Sruge,32.93
TX00000765,2,Echioes Throead,23.19
TX00000765,3,Emaber unit,29.75
TX00000765,4,Embr stuff,74.2
TX00000765,5,Fargemnts,19.66
TX00001440,1,ePtric object,77.7
TX00001440,2,thing thing,24.44
TX00001440,3,Lanternisb,87.8
TX00000261,1,,32.06
TX00000261,2,item Trae,2.99
TX00000342,1,Witthorn,50.87
TX00000342,2,Bireach Eber,59.85
TX00001220,1,Frostpite Horizn,49.39
TX00000471,1,Sunlet Gossamear,47.6
TX00000471,2,Lmiinal,15.48
TX00001334,1,,98.44
TX00001334,2,,25.51
TX00000198,1,Sipre,46.11
TX00000198,2,piece part,52.03
TX00000198,3,Gliemmer,84.71
TX00000198,4,,50.45
TX00000198,5,part,50.82
TX00001231,1,item,97.63
TX00000917,1,piece piece,64.62
TX00000917,2,Bonud element,66.51
TX00000743,1,ragmentz,60.46
TX00000743,2,Dhrea,89.58
TX00000743,3,,74.3
TX00000743,4,,92.98
TX00000570,1,,95.01
TX00000570,2,Revebreance,45.42
TX00000570,3,Limuinal Sonnat,39.2
TX00000570,4,Wihspres,31.12
TX00000570,5,thing erenade,43.11
TX00000218,1,item,44.77
TX00000218,2,Muremur,84.18
TX00000218,3,,44.79
TX00000453,1,,32.26
TX00000453,2,part,78.87
TX00000453,3,Fragmnts oef part,67.39
TX00000453,4,Sereity,50.58
TX00000030,1,Sarenaude,71.47
TX00000030,2,Casucade item Elzewhera,55.51
TX00000056,1,Ashoen Serendae,74.42
TX00001210,1,item'us Journye,48.24
TX00001210,2,item's part,87.17
TX00001385,1,Scatteret Glw,74.34
TX00001385,2,Uoinfolding,85.35
TX00001385,3,oShimmer,45.39
TX00001385,4,uScattered Gelow,53.94
TX00001385,5,iUnfoldeng,24.99
TX00001065,1,oRiftborne Alluare,82.97
TX00001065,2,object object,93.75
TX00001065,3,Allioyed,87.86
TX00001065,4,part stuff,12.05
TX00001065,5,Horion Quive,57.78
TX00000430,1,Limnial,47.84
TX00000430,2,Meadobound object,87.21
TX00000430,3,unlit Gossaer,57.07
TX00000430,4,part unit,37.83
TX00000724,1,Fragmeunts af,56.37
TX00000724,2,,21.21
TX00000724,3,,93.41
TX00000724,4,Fragmenets element,42.92
TX00001144,1,piece,40.07
TX00001144,2,Faible,5.55
TX00001144,3,Ecilpsed Ethres,37.77
TX00001144,4,,36.22
TX00001144,5,Luimnous Brin,91.49
TX00001005,1,Horizao,10.95
TX00001005,2,Emervalut,75.96
TX00001005,3,stuff element,48.66
TX00001050,1,,97.74
TX00001345,1,Unfodin,33.49
TX00001345,2,element,53.79
TX00001236,1,,55.26
TX00001236,2,Leminal,91.28
TX00001236,3,Ebmer's Joureny,45.31
TX00001235,1,item's part,50.88
TX00001235,2,Lmiinal,47.79
TX00001448,1,Aurelc Embrac,3.11
TX00001448,2,atitceborne,2.63
TX00001448,3,Petriec object,6.87
TX00000620,1,Fary,30.99
TX00000620,2,Fary,38.52
TX00000620,3,thing,43.38
TX00000620,4,thing,9.51
TX00000620,5,Trheaded Horiezon,38.86
TX00001067,1,object object,65.14
TX00001067,2,unit,44.6
TX00001067,3,Tinctre,5.17
TX00001067,4,part Currenot,34.24
TX00000838,1,,55.82
TX00000099,1,Hermonized Fleetnig,48.28
TX00000099,2,iQuench,62.67
TX00000532,1,Fraktured Horzon,39.06
TX00000532,2,Lmaiinal,62.76
TX00000532,3,item Saffrn,35.48
TX00000528,1,,51.11
TX00000528,2,item,23.3
TX00000528,3,Rieuverberance,40.94
TX00000528,4,item,31.14
TX00000528,5,item Sefrfon piece,91.71
TX00001346,1,part object,52.87
TX00001346,2,part,7.4
TX00001346,3,Vens,87.25
TX00001346,4,,27.94
TX00001172,1,Ecliapsed stuff,83.15
TX00001172,2,Ecliipsed Eters,25.53
TX00001172,3,,4.45
TX00001172,4,Zunlit,90.81
TX00001172,5,Fabloe,97.32
TX00001178,1,piece,86.91
TX00001178,2,piece,42.29
TX00001178,3,Lmuinouus,32.3
TX00000629,1,thing,57.96
TX00000629,2,Treade thing,6.04
TX00000629,3,Lumnious,8.28
TX00001027,1,Veiialrk object,50.61
TX00001027,2,stuff element,96.99
TX00001027,3,Horizo Quoiver,11.16
TX00001027,4,Dusik,85.94
TX00001027,5,unit Quiveoor,60.67
TX00000270,1,,10.5
TX00000270,2,Quite,25.99
TX00000270,3,object Embarak,39.12
TX00001341,1,piece,23.93
TX00001341,2,,22.68
TX00001341,3,nfolding Aber,40.84
TX00001341,4,Sihimmer,18.05
TX00000626,1,,36.11
TX00000626,2,,64.25
TX00000626,3,element,4.68
TX00001042,1,Alleoyed,65.11
TX00000976,1,Bounud element,12.85
TX00000371,1,Sivered,22.83
TX00000371,2,object,50.11
TX00000371,3,,89.49
TX00000371,4,Shiverad,27.24
TX00000588,1,Snone,89.77
TX00000588,2,Glsaslkie,26.99
TX00000588,3,Serniade,43.58
TX00000967,1,element,68.54
TX00000967,2,,15.2
