transaction_id,terminal_id,customer_id,amount,currency,transaction_time,transaction_hour,transaction_weekday,payment_method,item_count,operator_id,device_id,batch_id,auth_code,response_code,network_type,session_id,reference_number,trace_id,pos_entry_mode,true_mcc
TX00000051,T000018,C000107,465.36,EUR,2024-05-24 10:00:00,10,Friday,MOBILE,3,OP02,DEV-A630,B2931,249612,00,5G,6b262530,REF21928391,432b3c13-9a38-4e59-90d6-5801f27947ba,05,5411
TX00001199,T000225,C000001,430.26,USD,2024-10-12 21:00:00,21,Saturday,CARD,3,OP48,DEV-D236,B5379,821771,00,LAN,57049cef,REF88648797,548fde36-44f5-4f52-8bcf-98837923d4dc,81,5995
TX00001128,T000216,C000088,24.14,USD,2024-11-04 16:00:00,16,Monday,MOBILE,2,OP50,DEV-D554,B4839,823655,00,WIFI,8ee58d8f,REF72039090,9559dbf6-86e2-44c0-b7e7-aaaa5c737bf8,05,5995
TX00001190,T000225,C000227,11.32,GBP,2024-01-03 07:00:00,7,Wednesday,CARD,2,OP50,DEV-D288,B3399,837899,00,WIFI,21eacd22,REF79039857,93d2f7da-6635-455f-a8a1-b28cf5cf8e11,91,5995
TX00001249,T000253,C000048,94.94,EUR,2024-06-08 23:00:00,23,Saturday,MOBILE,3,OP54,DEV-E302,B9700,084700,00,5G,fbd57f81,REF63296865,710aa917-1b0b-4d4a-9565-a9ccd7992fbb,05,5941
TX00001419,T000284,C000029,96.52,EUR,2024-05-07 19:00:00,19,Tuesday,CARD,5,OP56,DEV-E461,B5911,940127,00,4G,2f925e0e,REF19406877,ccf0b665-f937-4a88-902c-c19af1666bf3,81,5945
TX00000432,T000091,C000395,158.82,GBP,2024-10-26 13:00:00,13,Saturday,CASH,1,OP24,DEV-C200,B7885,484908,00,4G,6836880e,REF45842449,253a7a66-2bf4-4b1f-967f-af8d29702738,91,5651
TX00001452,T000293,C000442,299.49,EUR,2024-07-26 06:00:00,6,Friday,CARD,4,OP57,DEV-E272,B4150,945212,00,WIFI,69b79e51,REF89233826,6ba586b6-955f-401d-bd7c-5516b5aac5e6,91,5945
TX00001470,T000285,C000054,163.31,USD,2024-05-23 20:00:00,20,Thursday,MOBILE,3,OP59,DEV-E422,B4440,959350,00,LAN,f69640e4,REF66718559,a7e34307-31e2-4860-89cd-af27ee51caee,05,5945
TX00001234,T000255,C000380,198.19,USD,2024-06-27 10:00:00,10,Thursday,CARD,5,OP55,DEV-E145,B2610,937037,00,5G,0b741691,REF34066772,2f0a8117-40f1-406b-90c2-1c157d1c1988,07,5941
TX00001281,T000245,C000145,437.71,EUR,2024-01-23 21:00:00,21,Tuesday,MOBILE,3,OP55,DEV-E825,B2200,029449,00,WIFI,c05c1b66,REF73073898,09dfb488-a9bd-4880-9ee1-b4a5d3860a98,05,5941
TX00001085,T000202,C000265,155.0,GBP,2024-11-22 13:00:00,13,Friday,MOBILE,4,OP50,DEV-D124,B2748,821289,00,4G,03a257ce,REF47489167,613ea606-d19a-4ff1-89d0-384370d16b26,07,5261
TX00000610,T000115,C000453,267.08,USD,2024-05-08 11:00:00,11,Wednesday,MOBILE,1,OP12,DEV-C105,B4563,435348,00,5G,3fd833c5,REF94799875,3bcdfbb1-be00-4ec0-8474-3dce4aec5766,05,5311
TX00001284,T000242,C000095,479.32,EUR,2024-07-26 17:00:00,17,Friday,MOBILE,2,OP52,DEV-E608,B7520,057780,00,5G,e50df5b0,REF57404655,29688471-e6e2-4bc9-bc0e-320682478e24,81,5941
TX00001041,T000197,C000495,189.37,EUR,2024-01-19 12:00:00,12,Friday,CARD,2,OP46,DEV-D275,B5159,716658,00,4G,fb10c542,REF55856072,b56c21d5-5ae7-4b58-b715-b3c2c15e6a88,81,5261
TX00000220,T000039,C000305,60.28,GBP,2024-11-02 15:00:00,15,Saturday,CARD,5,OP10,DEV-A802,B4781,213084,00,5G,78277efb,REF12351359,3aa6d5f8-6413-4ca5-923a-8b4164c6fbc4,91,5812
TX00000339,T000072,C000083,24.71,GBP,2024-05-28 20:00:00,20,Tuesday,CASH,4,OP02,DEV-A614,B2851,280210,00,4G,33c662e5,REF79355175,24f484c2-e618-4512-ac2a-1af14e43fa10,91,5814
TX00000423,T000077,C000049,62.67,USD,2024-09-23 07:00:00,7,Monday,CASH,1,OP20,DEV-C233,B6325,492638,00,LAN,65d28f9d,REF63082648,8b31509f-cfaa-4d15-9601-08c74f463497,91,5651
TX00000428,T000090,C000055,96.55,USD,2024-03-07 12:00:00,12,Thursday,CASH,2,OP13,DEV-C634,B4023,493463,00,5G,8080460b,REF49514706,df445f3c-13d4-4c65-97cb-284dd9272738,05,5651
TX00001105,T000231,C000019,81.0,GBP,2024-04-11 10:00:00,10,Thursday,MOBILE,2,OP42,DEV-D733,B4109,832664,00,4G,d6a984d1,REF11440873,834475d7-43ae-4e0a-8328-3320fd5f38a4,91,5995
TX00000076,T000017,C000068,259.27,USD,2024-06-27 08:00:00,8,Thursday,CASH,4,OP06,DEV-A350,B8562,189609,05,4G,87c01a3b,REF80265183,b59d515c-064a-42d7-bd45-4ce36155a66a,07,5411
TX00001391,T000272,C000286,221.65,GBP,2024-04-13 15:00:00,15,Saturday,MOBILE,4,OP55,DEV-E486,B2011,014113,00,5G,4a954b83,REF98647615,37d74954-af20-4183-8711-0517055b70b4,91,5942
TX00000439,T000080,C000474,75.18,EUR,2024-09-04 21:00:00,21,Wednesday,MOBILE,4,OP23,DEV-C401,B6223,447324,00,LAN,d91077c6,REF43571334,4dc5010d-ca60-426d-b11f-4c28e56165b7,05,5651
TX00001336,T000261,C000409,24.48,EUR,2024-07-15 23:00:00,23,Monday,CASH,4,OP55,DEV-E504,B2781,930722,00,4G,27e57e93,REF43975606,cf57fc86-9900-47a9-819b-4ead29b4e404,07,5942
TX00000864,T000161,C000480,411.56,USD,2024-09-25 15:00:00,15,Wednesday,CARD,2,OP38,DEV-B979,B9546,556524,05,WIFI,05e594de,REF88701173,04bfbfa7-f636-456f-930c-0a991a5fa584,07,5912
TX00001080,T000195,C000054,355.47,EUR,2024-04-20 13:00:00,13,Saturday,MOBILE,5,OP48,DEV-D843,B3748,844802,00,WIFI,3a04e7dc,REF80499581,722e49bb-8f3e-4c06-9045-db2e0c74574d,91,5261
TX00000354,T000063,C000454,195.32,GBP,2024-03-24 20:00:00,20,Sunday,CASH,1,OP03,DEV-A325,B3860,267041,00,LAN,70c5eb9f,REF21005469,3139a59c-37c9-4485-bd69-4f558755cc28,91,5814
TX00000365,T000067,C000364,282.99,USD,2024-03-24 09:00:00,9,Sunday,CARD,5,OP06,DEV-A940,B6242,218880,00,WIFI,62592878,REF78010479,e3c58112-7c20-406b-bae5-3b0402af615f,07,5814
TX00000309,T000075,C000111,216.13,EUR,2024-11-10 22:00:00,22,Sunday,MOBILE,2,OP10,DEV-A293,B8160,134516,00,LAN,290fe6b0,REF89498261,53ac8445-b2f0-4224-9c2d-02874aab6a06,81,5814
TX00000736,T000151,C000377,457.64,USD,2024-02-15 20:00:00,20,Thursday,MOBILE,4,OP29,DEV-C281,B8855,374295,00,4G,d9d9b92d,REF53333288,0426d1ed-1eea-4148-a27f-502ab9b84bd7,07,5732
TX00000998,T000184,C000170,375.95,EUR,2024-01-21 10:00:00,10,Sunday,MOBILE,3,OP37,DEV-B116,B4536,615361,14,LAN,1fb69b75,REF64076401,5760cf66-f6f8-4200-bb6b-9aef64ae76e0,07,5977
TX00000621,T000130,C000023,341.43,GBP,2024-01-07 07:00:00,7,Sunday,CASH,4,OP19,DEV-C953,B9755,464525,05,WIFI,aadbb70f,REF70005818,12d1ca67-e926-4ea8-b3dd-7050e9071ba6,81,5311
TX00000543,T000103,C000404,491.1,EUR,2024-10-18 16:00:00,16,Friday,CASH,5,OP18,DEV-C114,B2553,468205,05,LAN,aadb2229,REF47794354,62303474-e87d-4632-82c0-422140bc03a7,81,5699
TX00001140,T000220,C000334,333.49,EUR,2024-11-23 20:00:00,20,Saturday,MOBILE,2,OP44,DEV-D820,B7998,798418,00,5G,4c78d65b,REF93801562,806bb7d2-95c0-4fdb-923c-13f0aa4704f0,91,5995
TX00001296,T000242,C000051,433.4,USD,2024-08-23 14:00:00,14,Friday,CARD,2,OP57,DEV-E463,B2971,918054,14,LAN,1d80cdda,REF78464673,041b1ee2-b952-4763-a45f-311dcabdb65d,91,5941
TX00000554,T000107,C000100,344.0,GBP,2024-07-13 20:00:00,20,Saturday,CARD,2,OP18,DEV-C817,B5033,457454,00,WIFI,0e0d3709,REF44190049,11b5af29-8d32-4572-a978-0be6e50e268e,81,5699
TX00000679,T000130,C000141,295.41,EUR,2024-09-17 08:00:00,8,Tuesday,MOBILE,1,OP17,DEV-C659,B6633,442647,00,4G,855e8bb3,REF55280118,48ed6940-bbfa-4abe-a17f-4364a55e3b36,81,5311
TX00000049,T000011,C000325,345.8,GBP,2024-12-16 22:00:00,22,Monday,CARD,4,OP07,DEV-A601,B4152,215089,00,5G,409884ad,REF68558918,0049476b-abcc-40df-963a-5e271a26a1c0,81,5411
TX00000490,T000088,C000476,424.73,GBP,2024-10-22 18:00:00,18,Tuesday,MOBILE,1,OP13,DEV-C882,B7635,498387,00,LAN,b9d8e0e2,REF85120173,4f5b13cb-1c37-4c75-94fc-7fe715cc27b2,07,5651
TX00000316,T000064,C000041,266.97,EUR,2024-10-11 10:00:00,10,Friday,MOBILE,3,OP03,DEV-A429,B9002,142649,00,LAN,fc1e2cd7,REF52071895,7019e045-edd7-4d3d-b565-5deafa51ced2,05,5814
TX00000904,T000192,C000123,405.17,GBP,2024-10-19 15:00:00,15,Saturday,MOBILE,1,OP39,DEV-B111,B6836,621223,00,LAN,ad98c339,REF96009920,5f22780f-66cb-4804-af9b-d2a6613eed9d,05,5977
TX00000636,T000129,C000381,293.98,GBP,2024-02-15 10:00:00,10,Thursday,MOBILE,5,OP29,DEV-C479,B5483,453069,05,4G,5f2bc4bb,REF24919894,60fe99cb-3724-488c-8cf8-ab1c82dda6d6,05,5311
TX00000560,T000095,C000203,154.53,EUR,2024-10-13 17:00:00,17,Sunday,CARD,1,OP28,DEV-C814,B1085,476590,00,5G,b1e6df0e,REF89986323,e6e084a8-c318-4b23-b95a-2b4514c548a3,07,5699
TX00000486,T000081,C000013,111.1,USD,2024-11-05 19:00:00,19,Tuesday,MOBILE,4,OP17,DEV-C854,B8055,486397,00,4G,f2b53bbe,REF18991996,cdb7ef2e-9aba-4acf-9fe7-feb57d934c8c,81,5651
TX00000067,T000000,C000160,65.91,USD,2024-08-26 23:00:00,23,Monday,MOBILE,2,OP07,DEV-A669,B9372,178013,00,WIFI,ec0b6ab8,REF34248334,a1b44336-6abd-40c0-8fb3-2dac76acb298,07,5411
TX00000811,T000175,C000111,469.13,GBP,2024-02-14 06:00:00,6,Wednesday,CASH,4,OP35,DEV-B465,B5367,685301,14,5G,e8f639f0,REF66808785,5c68b19b-7420-4eae-be6b-97a25216c71c,91,5912
TX00000493,T000084,C000064,5.17,GBP,2024-09-18 14:00:00,14,Wednesday,CARD,3,OP25,DEV-C623,B4193,330047,00,LAN,01fe8d8d,REF57723980,f0b8b217-780e-461a-b885-1b5addf4f9b7,07,5651
TX00000310,T000074,C000345,48.67,GBP,2024-01-24 20:00:00,20,Wednesday,CASH,5,OP01,DEV-A770,B7991,118076,05,WIFI,0cb2721a,REF18107284,204912ad-a84e-41e5-be7e-5381f8f8f585,91,5814
TX00001096,T000196,C000319,286.0,USD,2024-10-28 14:00:00,14,Monday,CARD,3,OP50,DEV-D851,B3338,793239,00,LAN,dee9d21d,REF90866578,50146a4c-6ae8-4c99-8018-29cc3dbde6a9,07,5261
TX00001247,T000240,C000344,483.65,EUR,2024-01-01 18:00:00,18,Monday,MOBILE,2,OP57,DEV-E668,B5741,043533,00,5G,aab384e8,REF61673279,9ee63c0b-369d-40f8-859a-5c7bb6687c76,91,5941
TX00000184,T000031,C000248,407.87,GBP,2024-08-05 14:00:00,14,Monday,CASH,3,OP01,DEV-A543,B2022,183160,00,4G,f6ebb517,REF60493924,c281f377-04d8-481d-aad7-8e8e602908c6,07,5462
TX00000306,T000066,C000038,9.77,USD,2024-02-28 13:00:00,13,Wednesday,MOBILE,3,OP02,DEV-A560,B7870,113015,00,4G,086cee20,REF60115328,494c5043-67af-47e3-9efb-f11ee86007a8,05,5814
TX00000852,T000162,C000139,50.67,GBP,2024-01-01 15:00:00,15,Monday,MOBILE,3,OP33,DEV-B665,B2516,547212,00,5G,9f45906e,REF30876851,0f07df3b-7c0a-4c68-9c82-b7036b0fc057,07,5912
TX00000792,T000144,C000349,33.46,USD,2024-03-10 22:00:00,22,Sunday,CASH,4,OP26,DEV-C460,B2023,445992,00,LAN,fdec8869,REF69916247,0d0463a2-099c-4f4c-aa1c-3ee15cf8cf9b,81,5732
TX00000289,T000047,C000202,25.69,EUR,2024-11-23 06:00:00,6,Saturday,CARD,2,OP04,DEV-A999,B7692,164511,00,5G,182c5adf,REF35433791,4fd747d2-c22c-40b6-b18d-d019aa264fb7,91,5812
TX00000706,T000137,C000320,295.26,USD,2024-10-24 14:00:00,14,Thursday,CASH,1,OP24,DEV-C835,B5294,432497,00,LAN,28052701,REF57767782,5305e36f-16d9-4296-9211-2e4a8fcca56d,07,5732
TX00001329,T000275,C000034,194.57,USD,2024-06-13 21:00:00,21,Thursday,MOBILE,3,OP56,DEV-E210,B5000,944047,05,WIFI,9166d025,REF32207379,0a7ca214-a26e-4722-a543-b2de534ddff3,81,5942
TX00000654,T000120,C000279,202.68,GBP,2024-01-05 21:00:00,21,Friday,MOBILE,2,OP24,DEV-C202,B2105,335220,00,WIFI,ad85cbee,REF61201714,29494b60-8a7f-4305-9c93-5896ee9a105c,07,5311
TX00000522,T000102,C000236,183.8,GBP,2024-02-26 10:00:00,10,Monday,CASH,1,OP15,DEV-C122,B1893,492714,00,5G,16ef4472,REF20557472,9c3d5d4e-677f-44fe-9f98-af3ff47b0afb,05,5699
TX00000461,T000089,C000237,163.82,GBP,2024-06-16 11:00:00,11,Sunday,CASH,5,OP19,DEV-C601,B2633,413175,00,4G,d3d5c246,REF21689275,a0fa9fab-bb64-4f7f-a063-e43adfc7cad8,91,5651
TX00000930,T000176,C000004,122.59,GBP,2024-07-27 13:00:00,13,Saturday,MOBILE,1,OP32,DEV-B340,B6486,514132,00,LAN,374f827e,REF80192097,9d529960-c950-4f80-b069-84911099553c,05,5977
TX00001034,T000200,C000348,458.98,EUR,2024-12-08 14:00:00,14,Sunday,MOBILE,3,OP43,DEV-D337,B2978,790842,00,LAN,2044a325,REF63839504,c4191093-47d8-45b2-8f9d-4d6244a48546,05,5261
TX00000029,T000006,C000296,380.11,USD,2024-07-27 18:00:00,18,Saturday,CASH,5,OP06,DEV-A356,B4092,189171,00,5G,8d58f912,REF50194740,d221912e-378d-42d2-8e71-220e34821af7,81,5411
TX00000240,T000047,C000247,259.53,GBP,2024-06-17 11:00:00,11,Monday,CASH,3,OP10,DEV-A109,B6951,187193,00,LAN,681851fb,REF90712387,4189cfc4-9f66-4240-a446-361195de5b0c,81,5812
TX00000798,T000144,C000225,334.17,EUR,2024-10-24 09:00:00,9,Thursday,CASH,5,OP27,DEV-C714,B8813,490022,00,4G,34aee90f,REF30611126,98dfd996-3552-407e-87ab-29e428d80843,05,5732
TX00000817,T000155,C000071,498.7,GBP,2024-02-01 19:00:00,19,Thursday,CASH,2,OP40,DEV-B843,B7617,564475,00,LAN,a0fd42a6,REF60674429,2235539c-362b-4187-a2e2-7325bb9ef907,91,5912
TX00000065,T000012,C000042,65.42,GBP,2024-02-04 06:00:00,6,Sunday,MOBILE,5,OP08,DEV-A409,B8042,297914,00,5G,eda1c59f,REF94870367,1c0ef490-50a1-4ff0-9252-e73ef0c77cea,91,5411
TX00000601,T000120,C000107,84.18,GBP,2024-11-22 19:00:00,19,Friday,MOBILE,3,OP11,DEV-C980,B4835,419354,00,LAN,922408a2,REF44544778,8a5cf723-9650-4f39-81f5-e5cb57ec9275,07,5311
TX00000924,T000185,C000349,294.35,GBP,2024-07-05 06:00:00,6,Friday,CASH,5,OP34,DEV-B546,B7297,599872,00,5G,a9824289,REF96237148,a2d30c47-5aa8-416b-9958-acfe8a1e662d,05,5977
TX00000754,T000135,C000328,481.97,EUR,2024-11-24 10:00:00,10,Sunday,CARD,3,OP26,DEV-C774,B4733,490699,05,LAN,c81de701,REF67795956,7e51f3c5-67e1-4a51-a280-883d4eaf9566,81,5732
TX00000926,T000178,C000177,425.97,GBP,2024-11-10 20:00:00,20,Sunday,MOBILE,1,OP36,DEV-B553,B3237,513526,00,WIFI,7072f2e6,REF70561842,ada7d9be-5aba-4d37-81c3-4ecd31f9ac40,91,5977
TX00001101,T000221,C000015,399.26,GBP,2024-04-07 11:00:00,11,Sunday,CARD,3,OP47,DEV-D566,B1128,756549,00,5G,8a3018aa,REF31516803,27fe6670-2de5-4325-a532-d7ab1ec659d0,81,5995
TX00000247,T000045,C000239,117.7,EUR,2024-03-11 12:00:00,12,Monday,CASH,2,OP06,DEV-A686,B6592,212864,00,LAN,632c6d28,REF52139163,ea444724-47da-41a8-adca-ff3ad1c3c5c3,81,5812
TX00000277,T000055,C000032,342.59,USD,2024-12-05 21:00:00,21,Thursday,MOBILE,3,OP04,DEV-A576,B3752,275160,00,5G,c2ee5cb1,REF70192392,fae6ba76-ef48-4940-9c9c-a60e4c435010,05,5812
TX00001402,T000287,C000217,467.46,EUR,2024-05-28 10:00:00,10,Tuesday,MOBILE,4,OP59,DEV-E547,B7801,952863,00,LAN,8d8d6e4b,REF92507376,36fd3a68-ed4b-4c6b-b7fd-3b4a4128ce13,05,5945
TX00001066,T000210,C000127,463.43,USD,2024-04-10 18:00:00,18,Wednesday,MOBILE,1,OP47,DEV-D560,B4818,823235,00,5G,41039343,REF16098023,3ea8e571-5f05-4b5a-91d0-e1eafe369943,81,5261
TX00000479,T000079,C000015,434.87,USD,2024-03-19 09:00:00,9,Tuesday,CASH,1,OP25,DEV-C508,B3823,477669,00,LAN,095d2dd5,REF99951979,c38b93dd-3bf6-42d7-b9ee-88fb5f70c7a0,81,5651
TX00000426,T000090,C000231,347.1,USD,2024-11-12 09:00:00,9,Tuesday,MOBILE,1,OP17,DEV-C450,B4053,363406,00,WIFI,ad531a96,REF92477940,e1a96e81-4134-48cd-9a00-5f9858609a10,05,5651
TX00000123,T000023,C000324,454.61,USD,2024-07-11 19:00:00,19,Thursday,CARD,3,OP02,DEV-A606,B9641,174361,00,4G,e3ad9a0e,REF93977718,2bd8f9f2-92fa-4a97-9db0-33ac24e2cfae,05,5462
TX00001169,T000220,C000421,278.08,USD,2024-12-03 11:00:00,11,Tuesday,CASH,2,OP45,DEV-D999,B3928,767213,05,WIFI,69067928,REF12959768,922f2857-6fa1-4c5c-8af9-e39a32bc4a5c,81,5995
TX00000394,T000062,C000025,129.8,EUR,2024-05-14 21:00:00,21,Tuesday,CASH,2,OP02,DEV-A989,B4771,268118,00,LAN,59732de5,REF35233025,2a84bf8e-5b22-4741-b43e-d4eba2d41e94,07,5814
TX00000985,T000187,C000214,392.67,EUR,2024-05-01 11:00:00,11,Wednesday,CASH,3,OP32,DEV-B402,B4426,529322,00,4G,7f8fd4e2,REF84144299,58fb0e37-61c6-4b02-9f0d-605e2ef38c61,05,5977
TX00000715,T000147,C000362,410.23,GBP,2024-09-08 22:00:00,22,Sunday,MOBILE,3,OP26,DEV-C705,B5725,489359,00,WIFI,229768a7,REF27621753,f6ad43a6-37b7-4f45-b09e-268626cd8f2f,07,5732
TX00001134,T000223,C000031,398.8,USD,2024-07-17 10:00:00,10,Wednesday,MOBILE,2,OP47,DEV-D425,B5909,821326,00,5G,3bd933fe,REF70902672,cedb0a60-6e0a-41ab-b01b-bddf004e7b06,07,5995
TX00001084,T000208,C000054,289.0,EUR,2024-02-15 09:00:00,9,Thursday,CARD,1,OP48,DEV-D883,B9828,885251,05,WIFI,dd9b8d43,REF14962333,eb375063-0484-4de7-b14a-de93cc9dcfd3,91,5261
TX00000497,T000094,C000282,77.0,EUR,2024-08-27 18:00:00,18,Tuesday,CARD,4,OP24,DEV-C511,B9653,377605,00,WIFI,9525c1de,REF83366250,91e12b70-da9b-4290-8e17-30e23062b085,05,5651
TX00000044,T000006,C000375,168.98,USD,2024-04-28 06:00:00,6,Sunday,CARD,5,OP03,DEV-A484,B3092,253082,00,5G,21059944,REF15316025,a03dcd5c-3ee5-44c2-b02f-75ca882980cd,91,5411
TX00000059,T000020,C000293,187.03,EUR,2024-12-04 12:00:00,12,Wednesday,CASH,5,OP06,DEV-A486,B8342,240587,00,5G,18adeba0,REF24949509,3f584728-1759-43ee-bce1-6b2fedd7309e,05,5411
TX00001161,T000226,C000116,107.58,GBP,2024-08-24 19:00:00,19,Saturday,CARD,5,OP50,DEV-D531,B7529,840519,00,5G,c8ced77a,REF49865345,5aa166e9-59d2-44cf-8c51-68af5f9d875f,81,5995
TX00000023,T000006,C000403,443.08,EUR,2024-07-21 10:00:00,10,Sunday,CARD,3,OP04,DEV-A390,B2780,282680,00,WIFI,16a4349d,REF45136671,540aa281-35c0-4203-b87b-dcfb812d311b,05,5411
TX00000874,T000167,C000208,314.61,EUR,2024-01-10 09:00:00,9,Wednesday,CARD,4,OP40,DEV-B580,B5207,687159,00,5G,5768bd03,REF87545140,a55bd0c2-c2ac-49cb-8f43-32001a32c7ca,81,5912
TX00000481,T000082,C000101,499.88,USD,2024-01-11 23:00:00,23,Thursday,MOBILE,4,OP11,DEV-C117,B6784,468565,00,WIFI,13e1da1b,REF13984125,4a43344e-bac1-48a1-8d41-33e6daba5dfa,07,5651
TX00001324,T000274,C000383,298.54,EUR,2024-08-25 10:00:00,10,Sunday,MOBILE,2,OP56,DEV-E432,B1161,985918,00,5G,22b47739,REF19054179,c1f7f455-597d-4d49-bb6b-24caeffc99d4,05,5942
TX00000745,T000137,C000150,124.93,EUR,2024-03-25 06:00:00,6,Monday,CARD,3,OP18,DEV-C569,B4723,484694,00,LAN,cb667e8b,REF91878836,bc3e900c-5c3f-4dd3-ad8e-27c992425631,91,5732
TX00000231,T000054,C000452,359.41,USD,2024-07-09 08:00:00,8,Tuesday,MOBILE,5,OP02,DEV-A922,B7181,219154,00,LAN,b6a8f384,REF79762014,f57df4c1-c876-4c5a-8f2e-e2729136ac48,91,5812
TX00000124,T000021,C000015,270.3,GBP,2024-04-20 09:00:00,9,Saturday,MOBILE,2,OP03,DEV-A775,B6802,154932,00,5G,1207899a,REF10673042,2f4fc738-6dad-41ff-ba73-d13852dae1a6,07,5462
TX00000427,T000092,C000413,191.05,GBP,2024-10-19 19:00:00,19,Saturday,CASH,5,OP22,DEV-C678,B6945,485246,14,LAN,7772b1b9,REF44258271,b4b43a37-382f-4370-a156-d7a04bb343e0,07,5651
TX00000818,T000163,C000379,12.99,EUR,2024-06-20 21:00:00,21,Thursday,CASH,5,OP33,DEV-B930,B1326,545214,00,LAN,1d826d81,REF66824661,1fc88e9d-e5a0-4b6f-8a0d-a1123e413a3a,07,5912
TX00000168,T000034,C000385,33.27,USD,2024-12-24 19:00:00,19,Tuesday,MOBILE,4,OP09,DEV-A153,B7761,213406,00,LAN,ecdcd839,REF13670202,db0860e3-bc37-4aa9-aa6f-04050f0d0287,81,5462
